,name (zolpidem),similarity (zolpidem),name (eszopiclone),similarity (eszopiclone),name (zaleplon),similarity (zaleplon),name (trazodone),similarity (trazodone),name (amitriptyline),similarity (amitriptyline),name (mirtazapine),similarity (mirtazapine),name (doxepin),similarity (doxepin),name (lorazepam),similarity (lorazepam),name (clonazepam),similarity (clonazepam),name (temazepam),similarity (temazepam),name (triazolam),similarity (triazolam),name (melatonin),similarity (melatonin),name (atorvastatin),similarity (atorvastatin)
18,-zopiclone,0.8434157967567444,levomilnacipran,0.8109672665596008,zolpidem-mr,0.8103240728378296,normirtazapine,0.8569383025169373,amitriptyline-like,0.8992207050323486,quetiapine,0.890674352645874,nordoxepin,0.8381831645965576,lorazepm,0.8747766613960266,clorazepate,0.8693978786468506,quazepam,0.872339129447937,quazepam,0.8451150059700012,normelatonin,0.8660366535186768,ezetimibe+simvastatin,0.9286153316497803
19,-lorazepam,0.8429108262062073,zaleplone,0.8094255924224854,nimetazepam,0.8090810775756836,*clonazepam,0.8551616668701172,protriptyline,0.8970158100128174,mirtazepine,0.887897789478302,-nortriptyline,0.8376241326332092,lorazepam-diazepam,0.872206449508667,diazepam,0.8685146570205688,nimetazepam,0.8720548152923584,*alprazolam,0.8445185422897339,mel1a-melatonin,0.8643580675125122,w/atorvastatin,0.9280091524124146
20,/lorazepam,0.8425038456916809,zolpidem-mr,0.8033479452133179,flurazepam,0.8067328929901123,*paroxetine,0.8548453450202942,amitriptyline/day,0.8948904275894165,prozapine,0.8872066140174866,trazodone,0.8365453481674194,cloniprazepam,0.8649207353591919,fenazepam,0.8654255270957947,clazepam,0.8713439702987671,clazepam,0.8429548144340515,'melatonin,0.8642256855964661,nonatorvastatin,0.9272305965423584
21,temazepam,0.8412097096443176,alprazolam/escitalopram,0.802590548992157,etizolam,0.8050159215927124,amitriptyline,0.8545322418212891,trimipramine,0.889504075050354,trazodone,0.8848714828491211,amytriptyline,0.8347040414810181,morphine/lorazepam,0.8621861338615417,alprazolam,0.861944317817688,alprazolam,0.8692481517791748,diazepam/bromazepam,0.8426289558410645,pre-melatonin,0.8639767169952393,2oh-atorvastatin,0.9271650314331055
22,*clonazepam,0.8408408164978027,suvorexant,0.8022094368934631,d-zopiclone,0.8049216866493225,venlafaxine,0.8517807722091675,noxiptyline,0.8893569707870483,olanzapine,0.883978009223938,amitriptyline's,0.8345271348953247,patientlorazepam,0.8607034683227539,lorazepam/diazepam,0.8613842129707336,/lorazepam,0.8687835931777954,flurazepam,0.842369556427002,melatonin.,0.863914430141449,ezetimibe/atorvastatin,0.9262688159942627
23,tazepam,0.8406757712364197,zolpidem-er,0.8017748594284058,lopirazepam,0.8027929067611694,citalopram,0.850543737411499,nortriptyline's,0.8883460760116577,scitalopram,0.8824045658111572,amitryptyline,0.8330121040344238,diazepam,0.8605660200119019,-lorazepam,0.8605350255966187,tamazepam,0.8687716722488403,tazepam,0.8419473171234131,2-i-melatonin,0.8619165420532227,atorvastatin-,0.9259565472602844
24,*alprazolam,0.8392086029052734,estazolam,0.7983886003494263,zolpidem's,0.8016908168792725,clonazapine,0.8486112356185913,maprotiline,0.8881901502609253,olanzapine-fluoxetine,0.8816569447517395,nortriptylline,0.8321829438209534,clonazepam,0.8600559234619141,larazepam,0.860361635684967,cloniprazepam,0.8680047988891602,temazepam,0.8411834836006165,ir-melatonin,0.8576775789260864,*simvastatin,0.9243466854095459
25,larazepam,0.83884596824646,vilazodone,0.7978823184967041,flubromazepam,0.7999697923660278,mirtazapin,0.8482186794281006,amitriptyline/morphine,0.8875439167022705,rrazodone,0.8810280561447144,maprotiline,0.8314676284790039,klonazepam,0.8588449954986572,lorazepam,0.8600559234619141,s-lorazepam,0.8669984936714172,clonazolam,0.8408464193344116,sah+melatonin,0.8563740253448486,norvasc-atorvastatin,0.9240133762359619
26,lopirazepam,0.8371614217758179,alprazolam-xr,0.7976862192153931,temazepam,0.7999672293663025,mitrazapine,0.8476172685623169,clorimipramine,0.8872310519218445,fluoxetine/olanzapine,0.8808057308197021,nortriptyline's,0.8308298587799072,clorazepate,0.8556318283081055,night.clonazepam,0.8586280345916748,fosazepam,0.8665469884872437,bentazepam,0.8405900597572327,melatonin-n,0.8551645278930664,simvastatin-ezetimibe,0.92215496301651
27,alpidem,0.8361735343933105,atomoxetine-buspirone,0.7976202964782715,fonazepam,0.799541175365448,sertralin,0.8466144800186157,chlomipramine,0.8846470713615417,-olanzapine,0.8791145086288452,lopramine,0.8294838666915894,lorazepma,0.8550730347633362,tazepam,0.8538815379142761,elfazepam,0.8659127354621887,loazepam,0.8387474417686462,non-melatonin,0.8543045520782471,ezetimibe-simvastatin,0.9193289279937744
28,cloniprazepam,0.836032509803772,*zolpidem,0.7962813377380371,larazepam,0.7986929416656494,amytriptyline,0.8459790945053101,chlordiazepoxide-amitriptyline,0.8845955729484558,risperidone-quetiapine,0.8759650588035583,amitriptylinoxide,0.8282819986343384,lorazepem,0.8549652695655823,lorazepam/haloperidol,0.8537342548370361,diazepam/bromazepam,0.8656432032585144,lormetazepam,0.8377553224563599,rnelatonin,0.8524413704872131,atorvastatin+ipc,0.916894793510437
29,eszopiclone,0.8337931036949158,alprazolam8,0.794674277305603,metaclazepam,0.7974552512168884,lopramine,0.8455699682235718,perphenazine-amitriptyline,0.8834761381149292,alprazolam/escitalopram,0.8749424815177917,hydroxyzine,0.8281098008155823,*clonazepam,0.8518581390380859,delorazepam,0.852353572845459,prnlorazepam,0.8652728199958801,pentazepam,0.836706280708313,-melatonin,0.8497952222824097,atorvastatin/asa,0.9157883524894714
30,lormetazepam,0.8326160907745361,triazolam,0.794112503528595,tazepam,0.7972831726074219,*quetiapine,0.8454632759094238,nortriptylin,0.883090615272522,citalopram/escitalopram/sertraline,0.8733810186386108,amitriptyline-,0.8279985189437866,temazepam,0.8496408462524414,prnlorazepam,0.852065920829773,bentazepam,0.8650200366973877,alprazolam-,0.8360475301742554,phytomelatonin,0.8492984771728516,atrorvastatin,0.9147342443466187
31,klonazepam,0.8320047855377197,normirtazapine,0.7936854362487793,flubromazolam,0.7969045639038086,nefazodone,0.8447688221931458,amitryptyline,0.8830451965332031,'quetiapine,0.8721154928207397,amitriptyline.,0.8263828754425049,larazepam,0.8486129641532898,flurazepam,0.8517560958862305,estazolam,0.8621724843978882,oxazolam,0.8358066082000732,melatonin-tacrine,0.8486894965171814,simvastatin-gemfibrozil,0.9143915176391602
32,quazepam,0.8315622806549072,aprazolam,0.7927970886230469,estazolam,0.7968826293945312,trazodone-like,0.844221830368042,desipramine,0.8829821348190308,olazapine,0.8709291219711304,clorimipramine,0.8263428211212158,loazepam,0.8441128134727478,lamotrigine,0.847224771976471,lorazepam/diazepam,0.8615342378616333,flunitrazolam,0.8353055715560913,low-melatonin,0.8471187353134155,atorvastatin/day,0.9141497611999512
33,lorazepam/diazepam,0.8309680223464966,temazepam,0.7915569543838501,traizolam,0.7964239716529846,amitryptyline,0.8440929651260376,nor-triptyline,0.8829257488250732,*paroxetine,0.8704848289489746,nor-triptyline,0.8255054950714111,*diazepam,0.8436558246612549,prazepam,0.8458907604217529,delorazepam,0.8614363670349121,metizolam,0.8351817727088928,16l:8d-melatonin,0.8453875184059143,/simvastatin,0.9126388430595398
34,s-lorazepam,0.8305991888046265,lormetazepam,0.791511058807373,zolpidem-,0.796184778213501,nortrimipramine,0.8435303568840027,clomipramine,0.8821423053741455,sertraline/clonazepam,0.8701602220535278,fluphenazine/nortriptyline,0.8244397044181824,-temazepam,0.8431788682937622,clozepam,0.8453912734985352,klonazepam,0.8612385988235474,alprazolam's,0.8334813117980957,i-melatonin,0.844448447227478,*pravastatin,0.9119543433189392
35,clonazepame,0.8273451924324036,paroxetine-alprazolam,0.7910496592521667,clazepam,0.7959519624710083,-quetiapine,0.8430702090263367,nortrimipramine,0.8804361820220947,sertralin,0.869614839553833,amitriptyline-perphenazine,0.8236299157142639,lorazepam-based,0.8374584317207336,zolpidem,0.8453529477119446,lopirazepam,0.8605084419250488,oxazepam,0.8327646255493164,antimelatonin,0.8433342576026917,pravastatin-to-simvastatin,0.9098773002624512
36,clorazepam,0.8269265294075012,cloniprazepam,0.7899909019470215,flurazepame,0.7952413558959961,clonazepam,0.8425197601318359,imipramine/desipramine,0.8774025440216064,fluvoxamine,0.8694678544998169,mirtazepine,0.8235166668891907,loprazolam,0.837377667427063,clonazolam,0.8450677990913391,zopiclone,0.8603357672691345,nitrazolam,0.8318477869033813,melatonin-,0.8421944379806519,mg/rosuvastatin,0.9096318483352661
37,flurazepame,0.8268686532974243,s-modafinil,0.7897040843963623,alprazolam,0.794899582862854,'quetiapine,0.8417145609855652,fluphenazine/nortriptyline,0.8760165572166443,paroxetine-alprazolam,0.8689947128295898,azipramine,0.8234772682189941,tazepam,0.8367948532104492,lorazepam-diazepam,0.8440898060798645,-lorazepam,0.8598544001579285,zopiclone/zolpidem,0.8313725590705872,melatonin-forming,0.839327335357666,5.simvastatin,0.9094408750534058
38,zopiclone's,0.8258376121520996,quazepam,0.7896404266357422,alpidem,0.7928312420845032,alprazolam,0.8408631086349487,imipramine+desipramine,0.8756704330444336,risperidone-olanzapine,0.8679117560386658,chlomipramine,0.8228260278701782,same..lorazepam,0.8313195109367371,iodoclonazepam,0.8440665602684021,medazepam,0.8585588932037354,pyrazolam,0.831196665763855,bdl+melatonin,0.8391509056091309,atorvastatin-group,0.9090875387191772
39,-alprazolam,0.8258030414581299,zolpidem-ir,0.7887717485427856,cloniprazepam,0.792603075504303,nortriptyline,0.8402976989746094,amitriptyline-related,0.8751174211502075,clzapine,0.8673804402351379,chlordiazepoxide-amitriptyline,0.8224043250083923,lopirazepam,0.8285115957260132,cinazepam,0.8438702821731567,sulazepam,0.8577299118041992,madazolam,0.8311548829078674,melatonin-free,0.835957944393158,atorvastatin-zein,0.9090712666511536
40,-clonazepam,0.8239853382110596,pramiprexole,0.7884316444396973,metizolam,0.7909755706787109,amitriptylline,0.8400921821594238,doxepin,0.873583197593689,cia+quetiapine,0.8659625053405762,*trazodone,0.8207329511642456,*alprazolam,0.8284947872161865,nimetazepam,0.8437145352363586,6.lorazepam,0.8575812578201294,nitrazepam,0.8309799432754517,gland/melatonin,0.8353091478347778,-rosuvastatin,0.9082114696502686
41,-temazepam,0.8226395845413208,zolpidem-,0.786368727684021,prazepam,0.790173351764679,quetiapine,0.8399603366851807,imipramin,0.8714540004730225,paroxetine/fluoxetine,0.8649471998214722,imipramine,0.8187263607978821,fosazepam,0.8272789716720581,trazodone,0.8425197601318359,aprazolam,0.8570950031280518,traizolam,0.829899787902832,melatonic,0.8343870639801025,simvastatin-fenofibrate,0.908068060874939
42,6.lorazepam,0.821908175945282,blonanserin,0.7858514189720154,miazolam,0.7898255586624146,nefazadone,0.839653491973877,amitriptyline-ketamine,0.8709449768066406,citalopram/escitalopram,0.8648560643196106,cyclobenzapine,0.8163660168647766,alprazolam,0.8237990140914917,lorazepa,0.842513382434845,loprazolam,0.8566033840179443,zopiclon,0.8286157846450806,melatonin-beeswax,0.8333837985992432,fluvastatin,0.9073511362075806
43,triazolam,0.8218540549278259,gaboxadol,0.785003662109375,halazepam,0.7883167862892151,zolpidem5mg,0.8389446139335632,sertraline,0.8705419301986694,'olanzapine,0.8641448020935059,amitiptyline,0.8160600662231445,dizepam,0.818195104598999,temazepam,0.8412313461303711,*clonazepam,0.8552745580673218,bromazepam,0.8280122876167297,clp-melatonin,0.8310785293579102,ezetimibe/rosuvastatin,0.9071012735366821
44,lorazepam-diazepam,0.8212825655937195,etizolam,0.7846735119819641,modafinil/armodafinil,0.7868658304214478,citalopram40mg,0.8388264179229736,-nortriptyline,0.8702127933502197,fluoxetine,0.8640422224998474,amoxapine,0.8155219554901123,bentazepam,0.8180233836174011,s-lorazepam,0.8410567045211792,doxefazepam,0.8550620675086975,metaclazepam,0.8279663324356079,tacrine-melatonin,0.8298181295394897,14.simvastatin,0.9070448279380798
45,trazodone,0.8212583065032959,asenapine,0.7830973863601685,quazepam's,0.7856723070144653,-mirtazapine,0.838416576385498,imipramines,0.869576096534729,venlafaxine/venlafaxine,0.8631609678268433,imipramine/desipramine,0.8151873350143433,flutoprazepam,0.8179258108139038,methyl-clonazepam,0.8402239680290222,nordiazepam,0.8547624349594116,alprazolam-xr,0.8279558420181274,melatonin/crh,0.8291419148445129,simvastatins,0.9067246317863464
46,mirtazepine,0.8199421167373657,d-modafinil,0.7823373079299927,norprazepam,0.7847083806991577,amitriptyline+nortriptyline,0.8382441997528076,amitriptytine,0.8686201572418213,risperidone/olanzapine,0.862964928150177,amitriptyline/morphine,0.8149784207344055,prazepam,0.8175329566001892,fludiazepam,0.839973509311676,*alprazolam,0.8544647693634033,clorazepam,0.8277571797370911,melatonin/day,0.8272857666015625,simvastatin-niacin,0.9065011739730835
47,3h-zolpidem,0.8196545839309692,s-pramipexole,0.7813838720321655,loflazepate,0.7842480540275574,venlafaxine-mirtazapine,0.8381624221801758,imipramine-desipramine,0.868336021900177,quetiapine/olanzapine,0.8623875379562378,notriptyline,0.8148173689842224,tempazepam,0.8172180652618408,lorazepam1mg,0.8392785787582397,clorazepate,0.8541474342346191,flubromazepam,0.8275792598724365,melatoninergic,0.8263313174247742,atorvastatin-based,0.9063556790351868
48,meclonazepam,0.8173310160636902,zolpidem5mg,0.7809814810752869,ripazepam,0.7817399501800537,alprazolam/escitalopram,0.8374009132385254,desipramine/imipramine,0.8659611344337463,olanzapine/reboxetine,0.8621236085891724,perphenazine-amitriptyline,0.8144559264183044,midazolam,0.8147174119949341,loazepam,0.8391442894935608,flubromazepam,0.8528698086738586,medazolam,0.8265621066093445,plasma-melatonin,0.8259402513504028,sulindac/atorvastatin,0.9059706330299377
49,fonazepam,0.81669020652771,*alprazolam,0.7809630632400513,nazolam,0.7812517881393433,buspirone,0.8371556997299194,amitriptiline,0.8650499582290649,citalopram/,0.8615636825561523,amitriptylinum,0.8133581280708313,fludiazepam,0.8137798309326172,oxcarbazepine,0.8390078544616699,hydazepam,0.852523148059845,s-zopiclone,0.8258846402168274,melatonin-mnps,0.8247866034507751,simvastatine,0.9054226279258728
50,clonazepam's,0.8165562152862549,pramipexole,0.7799794673919678,conazepam,0.781050980091095,venlafaxine-quetiapine,0.8369847536087036,nortiptyline,0.8644276261329651,*fluoxetine,0.8614976406097412,mepiprazole,0.812623143196106,pentazepam,0.8135133981704712,lorazepam.,0.8388996720314026,nordazepam,0.8522257804870605,clorazepate,0.8255824446678162,melatonin-only,0.8245484828948975,simvastatin/ezetimibe,0.9049150943756104
51,rrazodone,0.8152737021446228,rrazodone,0.7794901728630066,zolpiden,0.7808908820152283,doxepin,0.8365453481674194,desimipramine,0.8643040060997009,olanzapine+sertraline,0.8612295985221863,*paroxetine,0.8119444847106934,diazepam/bromazepam,0.8134674429893494,*diazepam,0.8386244773864746,lorazepam,0.8496408462524414,cloxazolam,0.8249340057373047,melatonin/ml,0.8241913318634033,carvastatin,0.904883623123169
52,prnlorazepam,0.8151651620864868,esmirtazapine,0.7789222002029419,delorazepam,0.7804419994354248,1.paroxetine,0.8363097906112671,chlordesipramine,0.8637981414794922,olanzapine/quetiapine,0.8611339926719666,d4-trazodone,0.8118940591812134,clozepam,0.8130437135696411,pinazepam,0.8380638360977173,flurazepam,0.8496337532997131,alpha-oh-triazolam,0.8241604566574097,melatonin-exerted,0.8239388465881348,prnsimvastatin,0.9045280814170837
53,nimetazepam,0.8146551847457886,lurasidone,0.7784250974655151,armodafinil,0.7802852988243103,6.sertraline,0.835402250289917,amitriptyline-poisoned,0.8622664213180542,olanzapine/fluoxetine,0.8602553606033325,mirtazapine,0.8114548921585083,chlonazepam,0.8129923343658447,dizepam,0.8379809856414795,gidazepam,0.8486297726631165,nimetazepam,0.8239477872848511,melatonin-rich,0.8231793642044067,+simvastatin,0.9036952257156372
54,clonazepam-,0.8144947290420532,-alprazolam,0.7780810594558716,lopirazepame,0.7796040773391724,amitriptyline/haloperidol,0.8344264626502991,paroxetine,0.8622368574142456,aripiprazole,0.8597978353500366,-desipramine,0.8108127117156982,oxazepam,0.8126486539840698,lopirazepame,0.8379278779029846,lorazepam-diazepam,0.8480076193809509,halazepam,0.8232951760292053,malatonin,0.8229106068611145,hc+simvastatin,0.9027997255325317
55,diazepam/tramadol,0.8142672777175903,nefazodone,0.77777099609375,bromazepam,0.7788987159729004,*alprazolam,0.8337947130203247,azipramine,0.8617894053459167,venlafaxin,0.8593305349349976,desimipramine,0.8107832670211792,fluorazepam,0.8124709129333496,lorazepam's,0.837802529335022,zopiclon,0.8479594588279724,nordiazepam,0.8227196931838989,melatonin-based,0.8227813839912415,torcetrapib-atorvastatin,0.9026173949241638
56,alprazolam8,0.8142127990722656,flurazepam,0.77756267786026,desalkylflurazepam,0.7788841128349304,citalopram/escitalopram/sertraline,0.8336405754089355,desipramin,0.8615061044692993,cyclobenzapine,0.8576769232749939,elanzepine,0.8099742531776428,-alprazolam,0.8113282918930054,paroxetine-diazepam,0.8369996547698975,fonazepam,0.846847414970398,-zopiclone,0.8219174146652222,melatonin-derived,0.8221204280853271,zhibitai-atorvastatin,0.9020124673843384
57,conazepam,0.8129971027374268,atomoxetine,0.7771137356758118,diclazepam,0.7788127660751343,fluvoxamine,0.8330973982810974,chlorimipramine,0.8613015413284302,r-venlafaxine,0.8570964336395264,cyclobenzaprine,0.8097606301307678,premazepam,0.8110485076904297,-oxcarbazepine,0.8367544412612915,diazepam,0.8466280102729797,-brotizolam,0.8218728303909302,melatonin-selenium,0.8206093311309814,lovastatin/simvastatin,0.9002189636230469
58,flurazepam's,0.8119412064552307,oh-nefazodone,0.7770678997039795,loazepam,0.7785717248916626,ho-nefazodone,0.832718014717102,fluvoxamine,0.8605607748031616,fluoxetine/paroxetine,0.8565853238105774,imipramines,0.8094282150268555,clonazepame,0.8091995716094971,-alprazolam,0.835636556148529,miazolam,0.8460618853569031,zolpidem,0.8218540549278259,6-oh-melatonin,0.8205400705337524,er/simvastatin,0.900133490562439
59,nitrazepam/flunitrazepam,0.8113555312156677,nimetazepam,0.7765398025512695,zolpidem-ir,0.7783008217811584,sonepiprazole,0.8323850631713867,fluoxetine,0.8600163459777832,risperidone,0.8561587333679199,doxapine,0.8094003200531006,hydromorphone,0.8080888390541077,fosazepam,0.8349279165267944,conazepam,0.8453110456466675,-alprazolam,0.8218110799789429,melatonin/memantine,0.8201168775558472,atorvastatin-only,0.8994323015213013
60,loazepam,0.8111892342567444,*clonazepam,0.776179850101471,pentazepam,0.7782120108604431,prozapine,0.8323439359664917,venlafaxine,0.8552830219268799,-venlafaxine,0.8553795218467712,norclomipramine,0.8087233304977417,zolpidem,0.807905375957489,clonazapine,0.8348289132118225,fenazepam,0.8448762893676758,nitrazepam/flunitrazepam,0.8193939924240112,melatonin-elicited,0.8184945583343506,torcetrapib/atorvastatin,0.8992967009544373
61,diazepam/bromazepam,0.8104256391525269,d-milnacipran,0.776099443435669,flurazepam's,0.7773289680480957,paroxetine-alprazolam,0.8313287496566772,trazodone,0.8545322418212891,fluvoxamine-clozapine,0.8553277254104614,rrazodone,0.8087024092674255,fonazepam,0.8073707222938538,pentazepam,0.8341189622879028,tempazepam,0.844253420829773,flurazepam's,0.8185278177261353,serotonin-melatonin,0.8179445266723633,atorvast,0.899016797542572
